Dataset Name,Domain,Number of Variables at each time point,Number of Time Points,Time interval between points,Primary Source Repository,Link to Data,Detailed Description,Comments,Original Row #,Number of Versions,Reconciler Version,Reconciler Status,Reconciliation Notes,Added by Gemini,Informer,Monash TSER,UTSD,AutoGluon,Darts,TSLib,TSFM-Granite,TSFM-Core,TSFM-Bench,LOTSA,Prophet,NeuralForecast,Merlion,Aeon,DataLoop,NonUCR-UCI,UCR,UEA,MONSTER,Monash-Full,Monash-Common,Monash-small,M1,M2,M3,M4,M5,M6,TSB-UAD MOMENT,TSB-UAD Full,Hackernoon,Monash Moment,Kaggle TS,FastML,Time-LLM,AutoTimes,ST-LLM,LLM-Time,LLM-Mixer,LLM-prompt,LLM-PS,One Fits All,Lag-Llama,Chronos-Pre,Chronos-Eval1,Chronos-Eval2,ChronosBolt-Pre,ChronosBolt-Eval1,ChronosBolt-Eval2,ChronosX-Eval2,ChronosX-Synth,ChronosX-Pre,ChronosX-Eval1,TS-RAGZSEval,TS-RAGPreT,Tempo,TimeBench,InstructTime,LPTM-Pre,LPTM-Eval,TS2Vec-Bench,TS2Vec-PreT,Automixer,TTM-PreT,TTM-Eval,TTM-Bench,TSMamba-ZS,TSMamba-FullShot,TimeGPT,GHPT,TimesNet,TimesFM,Time-MOE,Timer-XL,LightGTS,CiK,NSF HDR,MLCommons-EQ
Traffic,Transportation,4,Not explicitly stated.,Not explicitly stated.,Kaggle (stealthtechnologies),https://www.kaggle.com/datasets/stealthtechnologies/traffic-time-series-dataset,"Synthetic traffic data for a specific location over one year, including Timestamp, Weather conditions, special Events, and Traffic Volume.","This is a synthetic dataset, distinct from the real-world Caltrans PeMS data.",680,1,22,Split into 5 records on 2025-08-04 20:46:46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,
Traffic,Count,1,24,Hourly,Transport for NSW Open Data,https://huggingface.co/datasets/monster-monash/Traffic,"Hourly traffic counts from automatic sensors in New South Wales, Australia, used for day-of-week classification.","This dataset is distinct from the California traffic datasets.  It is used for classification, not forecasting, and has a much smaller number of time points.",680,1,22,Split into 5 records on 2025-08-04 20:46:46,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Traffic,Transportation,Not specified.,Not specified.,Not specified.,Time-LLM GitHub Repository,https://github.com/KimMeen/Time-LLM,Traffic flow data used in Time-LLM experiments.,"Lacks specific details, possibly referring to a generic category or a dataset not fully described in available information.",680,1,22,Split into 5 records on 2025-08-04 20:46:46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Traffic Time Series Dataset (Synthetic),Transportation/Traffic Management,"4 features (Timestamp, Weather, Events, Traffic Volume)",Data for a one-year period,Hourly,Kaggle (Synthetic data),Kaggle Synthetic Traffic Data,"Synthetic traffic data for a specific location over a one-year period. Includes traffic volume, weather conditions, and special events. Intended for analyzing traffic patterns and trends, and developing traffic prediction models.","Useful for basic traffic pattern analysis and model development in a controlled, synthetic environment.",681,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
`traffic_hourly`,Transport,1 (univariate),862 series,1H (Hourly),Monash Time Series Forecasting Repository,https://huggingface.co/datasets/Monash-University/monash_tsf,"Hourly time series data from various domains.  This version of the dataset appears to be formatted for univariate time series analysis, possibly focusing on individual series prediction rather than system-wide dynamics.","This dataset likely represents individual time series within the broader traffic domain, possibly extracted or derived from a larger multivariate dataset.",682,2,22,Split into 2 records on 2025-08-04 19:32:56,"Multiple Datasets

**Reasoning:** There is a significant conflict in the described characteristics for the `traffic_hourly` dataset, specifically regarding the number of variables and the links provided. While the general domain (transport) and the time interval (hourly) are consistent, the discrepancies suggest two separate datasets are being referenced.",,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,
`traffic_hourly`,Transport,862 (Multivariate),17544,Hourly,Zenodo,https://zenodo.org/record/4656132,"Contains hourly data from 862 sensors on San Francisco Bay Area freeways, measuring road occupancy rate. Sourced from Caltrans PeMS.  This version of the dataset is specifically focused on traffic patterns in the San Francisco Bay Area and is structured for multivariate analysis, considering the interdependencies between multiple sensor readings.  Part of the common TSF-32 subset.  A benchmark for modeling urban traffic patterns, which have strong, multi-layered cyclical components (hourly, daily, weekly).","Represents a multivariate time series dataset ideal for studying complex spatio-temporal relationships in traffic flow.  ""Number of Variables"" was clarified as 862 based on consensus across multiple sources, reflecting the 862 sensors providing data points. The Monash-small source provides a different Zenodo link, likely a packaging variation.",682,5,22,Split into 2 records on 2025-08-04 19:32:56,,,,,,,,,,,,,,,,,,,,,,X,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,Y,,,,
traffic_weekly,Transport,>1 (Multivariate),2506,Weekly,Zenodo,Zenodo Record,"A weekly aggregated version of the San Francisco traffic dataset, containing 862 time series sourced from Caltrans PeMS. Part of the common TSF-32 subset.","Focuses on longer-term traffic trends and weekly cycles, removing the daily commute patterns.",683,4,22,Split into 2 records on 2025-08-04 19:33:47,"Multiple Datasets

**Reasoning:**
There are key conflicting details across the sources regarding the `traffic_weekly` dataset, strongly suggesting the existence of multiple distinct datasets mistakenly sharing the same name. The primary discrepancies center around:

1. **Univariate vs. Multivariate:** 'AutoGluon' describes the dataset as univariate (one variable per time point), while 'Monash-Common' and 'Monash-Full' clearly state it is multivariate.

2. **Number of Time Points:** 'AutoGluon', 'TTM-PreT', and 'Monash-small' refer to ""862 series"" or ""Varies"", which implies individual time series lengths may differ. In contrast, 'Monash-Common' and 'Monash-Full' specify a consistent 2506 time points.

3. **Data Sources and Links:** Different sources point to different repositories (Zenodo and Hugging Face/Monash Time Series Forecasting Repository) and provide distinct DOIs/URLs.  'Monash-small' also clarifies its data is a weekly aggregation of a separate 'traffic_hourly' dataset.

These inconsistencies are irreconcilable and indicate at least two separate datasets. I have divided the information into two",,,,,,,,,,,,,,,,,,,,,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,Y,,,,
traffic_weekly,Transport,1 (univariate or 862 individual series),Varies (862 series),Weekly (1W-WED),Monash Time Series Forecasting Repository,https://huggingface.co/datasets/Monash-University/monash_tsf,"A weekly aggregated version of the San Francisco traffic dataset (potentially derived from 'traffic_hourly').  Offers a smoothed, lower-resolution view of traffic congestion cycles.","Focuses on longer-term traffic trends and weekly cycles, removing the daily commute patterns.",683,3,22,Split into 2 records on 2025-08-04 19:33:47,,,,,,X,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,
Twitter Geospatial Data,Social Media / Spatiotemporal,3,14260000,Irregular (event-based),UCI Machine Learning Repository,Link to Data,"Contains seven days of geo-tagged Tweet data from the United States, including exact GPS location and timestamp.8","A massive dataset for spatiotemporal analysis. It can be used to model human mobility, information diffusion, and the geographic spread of events in near real-time. The primary challenge is its scale and the unstructured nature of tweet text (not included).",684,2,22,Auto-reconciled (1 unique source) on 2025-08-04 19:34:24,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,
TwoLeadECG,ECG,1,82,Not specified,"timeseriesclassification.com, cs.ucr.edu",TwoLeadECG Description,This dataset contains two-lead ECG data. The binary classification task is to distinguish between two cardiac states.,"Sourced from physionet.org, edited by E. Keogh. It includes 23 training and 1139 testing instances.",685,6,22,Auto-reconciled (1 unique source) on 2025-08-04 19:34:24,,,,,,,Y,,,,,,,,Y,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,Y,,,,,,,,,,,,,Y,,,,
TwoPatterns,Simulated,1,128,Not specified,"timeseriesclassification.com, cs.ucr.edu",TwoPatterns Description,A synthetic dataset designed to be difficult for Euclidean distance. The task is to classify instances into one of 4 classes based on underlying patterns.,Donated by P. Geurts. A 4-class problem with 1000 training and 4000 testing instances.,686,6,22,Auto-reconciled (1 unique source) on 2025-08-04 19:34:25,,,,,,,Y,,,,,,,,Y,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,Y,,,,,,,,,,,,,Y,,,,
Uber TLC (Daily Aggregated),Transportation/Urban Mobility,1 (Daily Pickup Count),181,1 Day (1D),NYC Taxi & Limousine Commission (TLC),https://www.kaggle.com/datasets/fivethirtyeight/uber-pickups-in-new-york-city/data,Daily aggregated number of Uber pickups in New York City from January to June 2015.,"This dataset provides a macro view of daily Uber pickup trends. Source 'ChronosBolt-Eval1' mentions data in PARQUET format, potentially from direct access to TLC, while others link to a Kaggle version obtained via a FOIL request.",687,3,22,Split into 2 records on 2025-08-04 19:34:41,"Multiple Datasets

The sources describe two distinct datasets mistakenly sharing the same name. While both relate to Uber pickups in NYC during the first half of 2015, they differ significantly in scope and aggregation level.  One dataset focuses on *daily aggregated counts* of Uber pickups, while the other includes *individual trip records* with detailed information about each pickup.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,X,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,
Uber TLC (Trip Records),Transport,"Multiple (Pickup Counts + Trip Distance, Fares, Payment Types, Passengers)",181 (Days),Daily,"NYC Taxi and Limousine Commission (TLC), potentially accessible via Hugging Face and other platforms","It is unclear where the complete trip record data can be publicly accessed as of today's date (August 4, 2025). 'ChronosX-Eval1' mentions Hugging Face, but this may refer to a derived/processed version.  Kaggle and other sources host subsets of the data.","Individual Uber trip records in New York City from January to June 2015, including details like pickup/drop-off times, locations, distances, fares, passenger counts, etc.","ChronosX-Eval1 states ""Contains 262 time series,"" which suggests further subdivisions within the dataset, perhaps by location or other factors. This requires further investigation.  The sources collectively describe trip-level data, but direct access to the full dataset remains unclear.",687,1,22,Split into 2 records on 2025-08-04 19:34:41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,
Uber TLC (Hourly),Transportation/Urban Mobility,1 (Pickup Counts),4344,1 Hour (1H),NYC Taxi & Limousine Commission (TLC),https://www.nyc.gov/site/tlc/about/tlc-trip-record-data.page,Hourly aggregated number of Uber pickups in New York City from January to June 2015.,"This hourly aggregation offers a more granular perspective on Uber pickup patterns compared to the daily dataset, revealing intra-day variations in demand. 1",688,3,22,Split into 2 records on 2025-08-04 19:35:36,"Multiple Datasets

**Reasoning:** While all sources pertain to Uber pickups in New York City, there are key differences that point to multiple distinct datasets:

* **Time Period:** Some sources clearly refer to the April-September 2014 data, while others focus on January-June 2015.  Source 1 ('Chronos-Eval1') specifies January-June 2015. Source 4 ('Lag-Llama') mentions both periods. The web searches confirm the existence of data for both 2014 and 2015.
* **Level of Aggregation:**  Source 1, Source 2 ('ChronosBolt-Eval1'), and some web searches describe *hourly* aggregated data.  Source 4 and some web searches describe more granular, trip-level data, sometimes referencing daily aggregation. Source 3 ('ChronosX-Eval1') is ambiguous regarding the level of aggregation and the specific data it includes.
* **Variables:** Source 1 and Source 2 focus on pickup *counts*. Source 3 mentions additional trip details like distance, fares, and payment types. Source 4 also suggests varying numbers of variables depending on the specific files. The web searches mention diverse analyses, including pickup locations, times, days of the week, and growth patterns, indicating that different versions of the data might exist with diverse features.

Therefore, the evidence suggests at least two distinct datasets: one with hourly aggregated pickup counts and another with more granular trip-level details.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,X,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,
Uber TLC (Trip-Level),Transport & Tourism,"Varies (4-6+) depending on the specific files.  May include date/time, latitude, longitude, base code, and potentially other trip details.","Varies (4.5M+ trips in April-September 2014, 14.3M+ trips in January-June 2015)","Raw data is trip-level, not aggregated; can be aggregated to various granularities (hourly, daily, etc.).",FiveThirtyEight / NYC Taxi & Limousine Commission (TLC),https://github.com/fivethirtyeight/uber-tlc-foil-response,"Trip-level data of Uber pickups in New York City, including data from April to September 2014 (4.5 million trips) and from January to June 2015 (14.3 million trips). Data may include trip details for other For-Hire Vehicle (FHV) companies as well as aggregated statistics.","This hourly aggregation offers a more granular perspective on Uber pickup patterns compared to the daily dataset, revealing intra-day variations in demand. 1",688,2,22,Split into 2 records on 2025-08-04 19:35:36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,
UCIActivity,HAR,9,128,20 ms (1/50 Hz),UCI ML Repository: Human Activity Recognition Using Smartphones,monster-monash/UCIActivity,"This dataset was collected from 30 participants performing six daily activities (walking, walking upstairs, walking downstairs, sitting, standing, lying). The data was captured using the accelerometer and gyroscope of a smartphone worn on the waist, resulting in 9 channels sampled at 50 Hz.5",This is a well-known and relatively clean HAR dataset. The challenge is to classify six fundamental human activities using only the sensors available in a standard smartphone. The cross-validation splits are based on the participants.,689,1,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UMD,Motion,3,150,Not specified,"timeseriesclassification.com, cs.ucr.edu",UMD Description,This dataset contains motion data. The task is to classify the motion into one of 3 different categories.,Donated by A. Mueen & E. Keogh. It includes 36 instances for training and 144 for testing.,690,6,22,Auto-reconciled (1 unique source) on 2025-08-04 19:36:08,,,,,,,Y,,,,,,,,Y,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,Y,,,,,,,,,,,,,Y,,,,
UNCPAPEUR,Corporate,1,94,Monthly,International Institute of Forecasters (IIF),M2 Competition Data (M2CAll.xls),"A monthly corporate time series from the M2 Forecasting Competition, likely related to European paper products. This series was provided by one of four collaborating companies and was anonymized.","Part of a set of 29 series used in a real-time, two-round competition structure. Data was obfuscated using a constant multiplier to ensure confidentiality.",691,2,22,Auto-reconciled (1 unique source) on 2025-08-04 19:36:09,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,
UNCPAPUSA,Corporate,1,225,Monthly,International Institute of Forecasters (IIF),M2 Competition Data (M2CAll.xls),"A monthly corporate time series from the M2 Forecasting Competition, likely related to US paper products. This series was provided by one of four collaborating companies and was anonymized.","Part of a set of 29 series used in a real-time, two-round competition structure. Data was obfuscated using a constant multiplier to ensure confidentiality.",692,2,22,Auto-reconciled (1 unique source) on 2025-08-04 19:36:09,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,
UnitTest,Simulated,1 (Univariate),24,Not explicitly stated.,Derived from ChinaTown dataset,"Not explicitly provided, likely internal to Aeon/UCR archive.","A stripped-down version of the ChinaTown problem, used for correctness tests in classification.","Equal length series. Total 42 instances (20 train, 22 test).",693,1,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
us_births,Health,1,7305,Daily,Varies (See Comments),Varies (See Comments),"A daily time series of US births from 1969 to 1988, useful for analyzing multiple, overlapping seasonalities (weekly, monthly, annual) and long-term demographic trends.","This dataset is available from multiple sources with varying links, suggesting potential versions or repackaging. Sources sometimes use ""us_births_daily"" as a related name.",694,3,22,Split into 4 records on 2025-08-04 19:36:35,"Multiple Datasets

**Reasoning:** While all sources refer to US birth data, there are key differences that point to distinct datasets:

* **Time Period:** Sources consistently mention two distinct time ranges: 1969-1988 and 1994-2014.  Source 1 lacks a time period, but its link points to the Monash repository, which might contain various datasets. Source 6 also lacks a specific range but implies a modern dataset. The web search results confirm the availability of US birth data spanning various periods.
* **Number of Time Points:** While some sources report 7305 time points (consistent with daily data over 20 years), other sources either don't provide this information or have significantly different values.
* **Primary Source/Links:**  Sources list different repositories like CDC WONDER and Zenodo, with specific links supporting the existence of separate datasets. Zenodo links themselves vary among some sources, further reinforcing the idea of multiple datasets.
* **Description and Comments:** Discrepancies in the dataset descriptions confirm distinct datasets.  For example,  some describe demographic trends, while others refer to seasonality.",,,,,,,,,,,,,,,,,,,,,,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,
US Births,Nature,1,7305,Daily,CDC WONDER,Zenodo,"A univariate daily time series of the number of births in the United States over a 20-year period (1994-2014). Useful for demographic studies and exhibits weekly and annual seasonality, as well as long-term trends.",N/A,694,1,22,Split into 4 records on 2025-08-04 19:36:35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
us_births,Health,1,1 series (exact count undetermined),Daily,Monash Time Series Forecasting Repository,https://huggingface.co/datasets/Monash-University/monash_tsf,US births dataset. Further details on time period and number of data points are needed.,This entry lacks crucial information for precise reconciliation. It could point to a specific dataset within the Monash repository or serve as a general link. More investigation is required.,694,1,22,Split into 4 records on 2025-08-04 19:36:35,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
US Births,Nature,1,<0.01 (Value is likely an error),Daily,Monash Time Series Repository,Monash Time Series Repository (exact link needed),"A univariate dataset tracking daily births in the United States, with strong seasonal and trend components. Useful for benchmarking forecasting capabilities.",The listed number of time points is likely an error. This dataset requires further verification.,694,2,22,Split into 4 records on 2025-08-04 19:36:35,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,
US Influenza,Health / Epidemiology,1 (ILI Counts),~800,Weekly,US CDC,CDC FluView,Aggregated and normalized counts of outpatients with Influenza-Like Illness (ILI) in the US. Used for forecasting up to 4 weeks ahead.,Data covers the 2004 to 2019 flu seasons. The forecasting setup is similar to the Flusight competitions.,695,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,
us_births_daily,Health,1 (Univariate),7305,Daily,Zenodo,Zenodo Record,A single time series of the number of births in the United States per day from 1969 to 1988.,Part of the common TSF-32 subset.,696,3,22,Auto-reconciled (1 unique source) on 2025-08-04 19:37:14,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,Y,,,,
USCActivity,HAR,6,100,10 ms (1/100 Hz),"Zhang, M. & Sawchuk, A. A. (2012)",monster-monash/USCActivity,"This dataset contains data from a Motion-Node device, which includes a 3-axis accelerometer and a 3-axis gyroscope (6 channels total), sampled at 100 Hz. Fourteen subjects performed 12 different activities. The task is to classify the activity being performed.5","This dataset provides a 12-class HAR problem using a standard 6-axis IMU. The activities are diverse, providing a good test for general-purpose activity recognition models. The cross-validation folds are based on the subjects.",697,1,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USHCN,Climate/Meteorology,"5 (Minimum Temperature, Maximum Temperature, Precipitation, Snowfall, Snow Depth)","Minimum 5906, average 38653, maximum 59283 (This variation likely accounts for different stations having different periods of record).",1 Day,NOAA National Centers for Environmental Information (NCEI),https://www.ncei.noaa.gov/products/land-based-station/us-historical-climatology-network,"The USHCN dataset provides daily measurements of five core climate indicators: minimum temperature, maximum temperature, precipitation, snowfall, and snow depth. Data is collected from a network of climate stations across the contiguous United States, historically encompassing approximately 1218 stations, with an adjusted dataset that incorporates around 6090 stations after adjustments for systematic, non-climatic influences to ensure the accuracy of long-term temperature trends.  The dataset serves as a fundamental resource for analyzing national and regional climate change and variability in the United States.","Source 'ChronosX-Pre' mentions use for pretraining, and its station count of 1218 stations likely reflects a specific version or subset of the USHCN for that purpose. Sources 'Chronos-Pre' and 'TS-RAGPreT' provide identical information likely stemming from common origin, and include the adjusted 6090 station count seen on the NOAA site. 'ChronosBolt-Pre' refers to ""USHCN v2.5"".  These discrepancies are reconciled in the detailed description.",698,5,22,Reconciled on 2025-08-04 19:37:28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,X,,,,,X,,,X,,Y,,,,,,,,,,,,,,,,,,,,,
UWaveGestureLibrary,Human Activity Recognition (HAR),"3 (X, Y, Z accelerometer readings)",315 (per series),"Motion-dependent (While 'UEA' lists it as 'Uniform', the original description and 'TSLib' suggest motion-dependence makes more intuitive sense for capturing gestures.)",UEA & UCR Time Series Classification Repository,https://www.timeseriesclassification.com/description.php?Dataset=UWaveGestureLibrary (This direct link from 'TSLib' seems most specific to this particular dataset).,"A time series dataset comprising 3-axis accelerometer data (X, Y, Z coordinates) collected from users performing eight distinct hand gestures. Each time series represents a single gesture performance and contains 315 data points.  The data serves as a benchmark for gesture recognition algorithms within the field of Human Activity Recognition (HAR).","A widely-used benchmark dataset for gesture recognition using accelerometer data. Different pre-processed versions may be available (e.g., through TSLib), potentially impacting time interval descriptions.  The core data consistently represents 8 gestures captured as 315 time points of 3D acceleration. The dataset was donated by Jiayang Liu of UCR.",699,7,22,Reconciled on 2025-08-04 19:38:18,,,,,,,Y,X,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,Y,,,,,,,,,,X,,,Y,,,,
UWaveGestureLibraryAll,Motion,1,945,Not specified,"timeseriesclassification.com, cs.ucr.edu",UWaveGestureLibraryAll Description,This dataset contains gesture data from all three axes of an accelerometer. The task is to classify the gesture into one of 8 classes.,Donated by the Rice Efficient Computing Group. An 8-class problem with 896 training and 3582 testing instances.,700,6,22,Auto-reconciled (1 unique source) on 2025-08-04 19:38:57,,,,,,,Y,,,,,,,,Y,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,Y,,,,,,,,,,,,,Y,,,,
UWaveGestureLibraryX,Motion,1,315,Not specified,"timeseriesclassification.com, cs.ucr.edu",UWaveGestureLibraryX Description,This dataset contains gesture data from the X-axis of an accelerometer. The task is to classify the gesture into one of 8 classes.,Donated by the Rice Efficient Computing Group. An 8-class problem with 896 training and 3582 testing instances.,701,6,22,Auto-reconciled (1 unique source) on 2025-08-04 19:38:58,,,,,,,Y,,,,,,,,Y,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,Y,,,,,,,,,,,,,Y,,,,
UWaveGestureLibraryY,Motion,1,315,Not specified,"timeseriesclassification.com, cs.ucr.edu",UWaveGestureLibraryY Description,This dataset contains gesture data from the Y-axis of an accelerometer. The task is to classify the gesture into one of 8 classes.,Donated by the Rice Efficient Computing Group. An 8-class problem with 896 training and 3582 testing instances.,702,6,22,Auto-reconciled (1 unique source) on 2025-08-04 19:38:58,,,,,,,Y,,,,,,,,Y,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,Y,,,,,,,,,,,,,Y,,,,
UWaveGestureLibraryZ,Motion,1,315,Not specified,"timeseriesclassification.com, cs.ucr.edu",UWaveGestureLibraryZ Description,This dataset contains gesture data from the Z-axis of an accelerometer. The task is to classify the gesture into one of 8 classes.,Donated by the Rice Efficient Computing Group. An 8-class problem with 896 training and 3582 testing instances.,703,6,22,Auto-reconciled (1 unique source) on 2025-08-04 19:38:59,,,,,,,Y,,,,,,,,Y,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,Y,,,,,,,,,,,,,Y,,,,
vehicle_trips,Transport,1 (univariate),329 series,1D (Daily),Monash Time Series Forecasting Repository,https://huggingface.co/datasets/Monash-University/monash_tsf,"Daily time series related to vehicle trips. The exact nature of the data is not fully specified across sources, but it's likely associated with transportation dynamics and mobility.","This version appears to be part of the Monash Time Series Forecasting Repository, which contains various univariate time series datasets for evaluating global forecasting models. It is unclear what specific metric relating to vehicle trips is captured in this univariate dataset.",704,2,22,Split into 2 records on 2025-08-04 19:39:15,"Multiple Datasets

The sources provide conflicting information regarding the `vehicle_trips` dataset, suggesting the existence of two distinct datasets mistakenly sharing the same name.  The primary discrepancies lie in the number of variables, number of time points, and data sources. Some sources describe a univariate dataset with 329 time points, sourced from the Monash Time Series Forecasting Repository, while others describe a multivariate dataset with 329 variables and 70-243 time points, sourced from FiveThirtyEight/Zenodo.  The different data links further reinforce the conclusion that these are separate datasets.",,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,
vehicle_trips,Transport,329 (multivariate - one for each series),70-243 (varies by series),Daily,"FiveThirtyEight (original data), Zenodo (repository)",https://zenodo.org/record/5122535,Contains 329 daily time series representing the number of trips and vehicles for various for-hire vehicle (FHV) companies in New York City.,"`Monash-Common` specifically mentions this dataset contains missing values and corresponds to a ""vehicle_trips_with_missing_values"" version.  Other sources do not mention missing data, suggesting they might represent a cleaned or imputed version, or simply fail to account for the missing values.",704,3,22,Split into 2 records on 2025-08-04 19:39:15,,,,,,,,,,,,,,,,,,,,,,,X,X,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vehicle_trips_with_missing_values,Transport,>1 (Multivariate),70 - 243,Daily,Zenodo,Zenodo Record,Contains 329 daily time series representing the number of trips and vehicles for for-hire vehicle (FHV) companies. This version contains missing values.,Contains missing values. Part of the common TSF-32 subset (as 'vehicle_trips').,705,3,22,Auto-reconciled (1 unique source) on 2025-08-04 19:39:47,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,Y,,,,
vehicle_trips_without_missing_values,Transport,>1 (Multivariate),70 - 243,Daily,Zenodo,Zenodo Record,Contains 329 daily time series for for-hire vehicle (FHV) companies. Missing values have been imputed.,Missing values imputed.,706,3,22,Auto-reconciled (1 unique source) on 2025-08-04 19:39:48,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,Y,,,,
Venice Lagoon Tides,Nature / Meteorology,1+ (Tide Level + exogenous weather variables),Varies,5 Minutes / Hourly,Local weather stations,Example GitHub Project,"This application involves forecasting the water level (tide) in the Venice Lagoon. The key aspect is the combination of the endogenous tide level time series with exogenous meteorological data, such as wind speed, atmospheric pressure, and temperature, which are known to influence the tides.","54 This dataset serves as a prime example of TTM's ability to leverage its exogenous mixer module. The associated tutorial demonstrates that by including external weather data as known future inputs, the model can significantly improve the accuracy of its tide level forecasts, showcasing a key practical feature that distinguishes TTM from many other models.",707,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,
